datetime_utc_start,datetime_utc_end,datetime_nem_start,datetime_nem_end,REGION,rrp_aud_per_mwh,total_demand_mw,SETTLEMENTDATE,PERIODTYPE
2010-07-02 04:00:00+00:00,2010-07-02 04:30:00+00:00,2010-07-02 14:00:00+10:00,2010-07-02 14:30:00+10:00,NSW1,32.37,11090.2,2010-07-02 14:30:00,TRADE
2010-07-02 04:30:00+00:00,2010-07-02 05:00:00+00:00,2010-07-02 14:30:00+10:00,2010-07-02 15:00:00+10:00,NSW1,32.21,11098.6,2010-07-02 15:00:00,TRADE
2010-07-02 05:00:00+00:00,2010-07-02 05:30:00+00:00,2010-07-02 15:00:00+10:00,2010-07-02 15:30:00+10:00,NSW1,31.69,11124.74,2010-07-02 15:30:00,TRADE
2010-07-02 05:30:00+00:00,2010-07-02 06:00:00+00:00,2010-07-02 15:30:00+10:00,2010-07-02 16:00:00+10:00,NSW1,33.34,11360.76,2010-07-02 16:00:00,TRADE
2010-07-02 06:00:00+00:00,2010-07-02 06:30:00+00:00,2010-07-02 16:00:00+10:00,2010-07-02 16:30:00+10:00,NSW1,26.84,11640.72,2010-07-02 16:30:00,TRADE
2010-07-02 06:30:00+00:00,2010-07-02 07:00:00+00:00,2010-07-02 16:30:00+10:00,2010-07-02 17:00:00+10:00,NSW1,23.26,12022.84,2010-07-02 17:00:00,TRADE
2010-07-02 07:00:00+00:00,2010-07-02 07:30:00+00:00,2010-07-02 17:00:00+10:00,2010-07-02 17:30:00+10:00,NSW1,34.56,12536.18,2010-07-02 17:30:00,TRADE
2010-07-02 07:30:00+00:00,2010-07-02 08:00:00+00:00,2010-07-02 17:30:00+10:00,2010-07-02 18:00:00+10:00,NSW1,40.33,12908.12,2010-07-02 18:00:00,TRADE
2010-07-02 08:00:00+00:00,2010-07-02 08:30:00+00:00,2010-07-02 18:00:00+10:00,2010-07-02 18:30:00+10:00,NSW1,40.1,12798.8,2010-07-02 18:30:00,TRADE
2010-07-02 08:30:00+00:00,2010-07-02 09:00:00+00:00,2010-07-02 18:30:00+10:00,2010-07-02 19:00:00+10:00,NSW1,36.76,12589.43,2010-07-02 19:00:00,TRADE
2010-07-02 09:00:00+00:00,2010-07-02 09:30:00+00:00,2010-07-02 19:00:00+10:00,2010-07-02 19:30:00+10:00,NSW1,31.68,12293.67,2010-07-02 19:30:00,TRADE
2010-07-02 09:30:00+00:00,2010-07-02 10:00:00+00:00,2010-07-02 19:30:00+10:00,2010-07-02 20:00:00+10:00,NSW1,28.2,12038.59,2010-07-02 20:00:00,TRADE
2010-07-02 10:00:00+00:00,2010-07-02 10:30:00+00:00,2010-07-02 20:00:00+10:00,2010-07-02 20:30:00+10:00,NSW1,25.25,11832.95,2010-07-02 20:30:00,TRADE
2010-07-02 10:30:00+00:00,2010-07-02 11:00:00+00:00,2010-07-02 20:30:00+10:00,2010-07-02 21:00:00+10:00,NSW1,25.78,11594.28,2010-07-02 21:00:00,TRADE
2010-07-02 11:00:00+00:00,2010-07-02 11:30:00+00:00,2010-07-02 21:00:00+10:00,2010-07-02 21:30:00+10:00,NSW1,25.5,11234.03,2010-07-02 21:30:00,TRADE
2010-07-02 11:30:00+00:00,2010-07-02 12:00:00+00:00,2010-07-02 21:30:00+10:00,2010-07-02 22:00:00+10:00,NSW1,26.85,10899.17,2010-07-02 22:00:00,TRADE
2010-07-02 12:00:00+00:00,2010-07-02 12:30:00+00:00,2010-07-02 22:00:00+10:00,2010-07-02 22:30:00+10:00,NSW1,49.08,10953.69,2010-07-02 22:30:00,TRADE
2010-07-02 12:30:00+00:00,2010-07-02 13:00:00+00:00,2010-07-02 22:30:00+10:00,2010-07-02 23:00:00+10:00,NSW1,33.06,10634.87,2010-07-02 23:00:00,TRADE
2010-07-02 13:00:00+00:00,2010-07-02 13:30:00+00:00,2010-07-02 23:00:00+10:00,2010-07-02 23:30:00+10:00,NSW1,33.73,10416.88,2010-07-02 23:30:00,TRADE
2010-07-02 13:30:00+00:00,2010-07-02 14:00:00+00:00,2010-07-02 23:30:00+10:00,2010-07-03 00:00:00+10:00,NSW1,32.61,10193.7,2010-07-03 00:00:00,TRADE
2010-07-02 14:00:00+00:00,2010-07-02 14:30:00+00:00,2010-07-03 00:00:00+10:00,2010-07-03 00:30:00+10:00,NSW1,32.27,9932.85,2010-07-03 00:30:00,TRADE
2010-07-02 14:30:00+00:00,2010-07-02 15:00:00+00:00,2010-07-03 00:30:00+10:00,2010-07-03 01:00:00+10:00,NSW1,31.92,9652.12,2010-07-03 01:00:00,TRADE
2010-07-02 15:00:00+00:00,2010-07-02 15:30:00+00:00,2010-07-03 01:00:00+10:00,2010-07-03 01:30:00+10:00,NSW1,34.97,9380.21,2010-07-03 01:30:00,TRADE
2010-07-02 15:30:00+00:00,2010-07-02 16:00:00+00:00,2010-07-03 01:30:00+10:00,2010-07-03 02:00:00+10:00,NSW1,33.51,9020.76,2010-07-03 02:00:00,TRADE
2010-07-02 16:00:00+00:00,2010-07-02 16:30:00+00:00,2010-07-03 02:00:00+10:00,2010-07-03 02:30:00+10:00,NSW1,25.97,8544.86,2010-07-03 02:30:00,TRADE
2010-07-02 16:30:00+00:00,2010-07-02 17:00:00+00:00,2010-07-03 02:30:00+10:00,2010-07-03 03:00:00+10:00,NSW1,23.71,8129.79,2010-07-03 03:00:00,TRADE
2010-07-02 17:00:00+00:00,2010-07-02 17:30:00+00:00,2010-07-03 03:00:00+10:00,2010-07-03 03:30:00+10:00,NSW1,23.63,7814.53,2010-07-03 03:30:00,TRADE
2010-07-02 17:30:00+00:00,2010-07-02 18:00:00+00:00,2010-07-03 03:30:00+10:00,2010-07-03 04:00:00+10:00,NSW1,19.79,7617.39,2010-07-03 04:00:00,TRADE
2010-07-02 18:00:00+00:00,2010-07-02 18:30:00+00:00,2010-07-03 04:00:00+10:00,2010-07-03 04:30:00+10:00,NSW1,23.63,7457.45,2010-07-03 04:30:00,TRADE
2010-07-02 18:30:00+00:00,2010-07-02 19:00:00+00:00,2010-07-03 04:30:00+10:00,2010-07-03 05:00:00+10:00,NSW1,20.38,7431.82,2010-07-03 05:00:00,TRADE
2010-07-02 19:00:00+00:00,2010-07-02 19:30:00+00:00,2010-07-03 05:00:00+10:00,2010-07-03 05:30:00+10:00,NSW1,24.95,7580.86,2010-07-03 05:30:00,TRADE
2010-07-02 19:30:00+00:00,2010-07-02 20:00:00+00:00,2010-07-03 05:30:00+10:00,2010-07-03 06:00:00+10:00,NSW1,25.02,7728.33,2010-07-03 06:00:00,TRADE
2010-07-02 20:00:00+00:00,2010-07-02 20:30:00+00:00,2010-07-03 06:00:00+10:00,2010-07-03 06:30:00+10:00,NSW1,24.91,8050.46,2010-07-03 06:30:00,TRADE
2010-07-02 20:30:00+00:00,2010-07-02 21:00:00+00:00,2010-07-03 06:30:00+10:00,2010-07-03 07:00:00+10:00,NSW1,25.42,8455.47,2010-07-03 07:00:00,TRADE
2010-07-02 21:00:00+00:00,2010-07-02 21:30:00+00:00,2010-07-03 07:00:00+10:00,2010-07-03 07:30:00+10:00,NSW1,24.99,8961.62,2010-07-03 07:30:00,TRADE
2010-07-02 21:30:00+00:00,2010-07-02 22:00:00+00:00,2010-07-03 07:30:00+10:00,2010-07-03 08:00:00+10:00,NSW1,26.66,9666.69,2010-07-03 08:00:00,TRADE
2010-07-02 22:00:00+00:00,2010-07-02 22:30:00+00:00,2010-07-03 08:00:00+10:00,2010-07-03 08:30:00+10:00,NSW1,31.78,10259.0,2010-07-03 08:30:00,TRADE
2010-07-02 22:30:00+00:00,2010-07-02 23:00:00+00:00,2010-07-03 08:30:00+10:00,2010-07-03 09:00:00+10:00,NSW1,32.53,10531.86,2010-07-03 09:00:00,TRADE
2010-07-02 23:00:00+00:00,2010-07-02 23:30:00+00:00,2010-07-03 09:00:00+10:00,2010-07-03 09:30:00+10:00,NSW1,36.09,10790.81,2010-07-03 09:30:00,TRADE
2010-07-02 23:30:00+00:00,2010-07-03 00:00:00+00:00,2010-07-03 09:30:00+10:00,2010-07-03 10:00:00+10:00,NSW1,34.61,10713.77,2010-07-03 10:00:00,TRADE
2010-07-03 00:00:00+00:00,2010-07-03 00:30:00+00:00,2010-07-03 10:00:00+10:00,2010-07-03 10:30:00+10:00,NSW1,33.18,10578.7,2010-07-03 10:30:00,TRADE
2010-07-03 00:30:00+00:00,2010-07-03 01:00:00+00:00,2010-07-03 10:30:00+10:00,2010-07-03 11:00:00+10:00,NSW1,31.85,10360.89,2010-07-03 11:00:00,TRADE
2010-07-03 01:00:00+00:00,2010-07-03 01:30:00+00:00,2010-07-03 11:00:00+10:00,2010-07-03 11:30:00+10:00,NSW1,32.5,10127.84,2010-07-03 11:30:00,TRADE
2010-07-03 01:30:00+00:00,2010-07-03 02:00:00+00:00,2010-07-03 11:30:00+10:00,2010-07-03 12:00:00+10:00,NSW1,33.6,9909.28,2010-07-03 12:00:00,TRADE
2010-07-03 02:00:00+00:00,2010-07-03 02:30:00+00:00,2010-07-03 12:00:00+10:00,2010-07-03 12:30:00+10:00,NSW1,32.74,9690.56,2010-07-03 12:30:00,TRADE
2010-07-03 02:30:00+00:00,2010-07-03 03:00:00+00:00,2010-07-03 12:30:00+10:00,2010-07-03 13:00:00+10:00,NSW1,30.06,9550.72,2010-07-03 13:00:00,TRADE
2010-07-03 03:00:00+00:00,2010-07-03 03:30:00+00:00,2010-07-03 13:00:00+10:00,2010-07-03 13:30:00+10:00,NSW1,28.57,9361.75,2010-07-03 13:30:00,TRADE
