round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
7,1,client_1,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.4523704298806437e-07,,6.135867096530856e-13,,0.0,1.3642310477735009e-05,,,0.0,,,,5.126867472426966e-05,0.0,0.9999999804949126,1.36803691930254e-06,0.0
7,2,client_2,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,9.166153768734478e-08,,1.526333121570854e-16,,0.0,1.0696935532905627e-05,,,0.0,,,,3.2356521842302755e-05,0.0,0.9999999690943304,8.574803018746024e-07,0.0
7,3,client_3,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.2255255115592533e-07,,1.9903273907467822e-12,,0.0,6.0526031120389234e-06,,,0.0,,,,4.326104681240395e-05,0.0,0.9999999768845172,1.1388468692530296e-06,0.0
7,4,client_4,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,2.5247510956244193e-07,,8.061548650850625e-11,,0.0,1.675243765930645e-05,,,0.0,,,,8.912372140912339e-05,0.0,0.9999999887796428,2.384820845691138e-06,0.0
7,5,client_5,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.4231274564514321e-07,,1.5208861120909016e-14,,0.0,1.9347036868566647e-05,,,0.0,,,,5.023640187573619e-05,0.0,0.9999999800941161,1.3705373476113891e-06,0.0
7,6,client_6,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.3318794072259418e-07,,7.192705632486085e-14,,0.0,6.347439011733513e-06,,,0.0,,,,4.701534635387361e-05,0.0,0.9999999787303496,1.2371172033454059e-06,0.0
7,7,client_7,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,5.11315416008765e-08,,7.656155982631307e-14,,0.0,3.450193162279902e-06,,,0.0,,,,1.8049433492706157e-05,0.0,0.9999999445966022,4.6125600761115493e-07,0.0
7,8,client_8,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,7.904679345213765e-08,,1.1261278368146499e-12,,0.0,8.068660463322885e-06,,,0.0,,,,2.7903517548111267e-05,0.0,0.9999999641622257,7.432403776874708e-07,0.0
7,9,client_9,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.622675026595261e-07,,0.0,,0.0,9.822156243899371e-06,,,0.0,,,,5.72804274270311e-05,0.0,0.9999999825420299,1.566474679748353e-06,0.0
8,1,client_1,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,9.654861083567903e-08,,2.649551585076626e-13,,0.0,8.08156983111985e-06,,,0.0,,,,3.4081662306562066e-05,0.0,0.9999999706587089,9.140272254626325e-07,0.0
8,2,client_2,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,9.400471579411676e-08,,2.0906190732576657e-13,,0.0,1.1161838301632088e-05,,,0.0,,,,3.3183667255798355e-05,0.0,0.9999999698646939,8.853482427184645e-07,0.0
8,3,client_3,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,8.960423929917546e-08,,1.3180331392276257e-13,,0.0,7.1991571530816145e-06,,,0.0,,,,3.1630297598894686e-05,0.0,0.9999999683847435,8.273609637399204e-07,0.0
8,4,client_4,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.4479319510961709e-07,,9.33060712027256e-11,,0.0,7.4170384323224425e-06,,,0.0,,,,5.111199425300583e-05,0.0,0.999999980435121,1.3243760577097419e-06,0.0
8,5,client_5,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.61952471933901e-07,,1.5271751623176753e-14,,0.0,3.525029023876414e-05,,,0.0,,,,0.0001277692208532244,0.0,0.999999992173389,3.4573608900245745e-06,0.0
