round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
11,2,client_2,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,8.662741142457014e-07,2.3398785651748827e-08,4.785425602449322e-07,0.0,2.9108537802358114e-09,4.955485110258451e-06,0.0,2.4039868549152743e-06,2.9108537802358114e-09,37.02060040797676,478542.56024493225,0.0012108437961881472,2.9453320166794583e-05,7.066433681757189e-06,0.8065037755302068,9.822946367421537e-07,0.0
11,3,client_3,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.1908174545784705e-06,6.993341572050427e-08,7.243267816647858e-07,0.0,9.527762756533775e-08,4.545290721580386e-06,0.0,1.187271323033201e-06,9.527762756533775e-08,17.02763142166828,724326.7816647858,0.08024917764605669,4.048779373988509e-05,2.1119889424880967e-05,0.6571873994095107,1.28915314689948e-06,0.0
11,4,client_4,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,9.307379709264912e-07,2.1402784943644076e-08,3.873817888688791e-07,0.0,1.2043822605889432e-09,5.1596612138382625e-06,0.0,9.660648174758535e-07,1.2043822605889432e-09,43.484737553526806,387381.7888688791,0.0012466875846365885,3.164508962072432e-05,6.4636406023055315e-06,0.8303894830694487,1.0097132872033399e-06,0.0
11,5,client_5,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.256406420679923e-06,5.3204501312591675e-08,6.915334722634725e-07,0.0,1.301762324601441e-07,4.871893452218501e-06,0.0,1.3376793503994122e-06,1.301762324601441e-07,23.61422014047597,691533.4722634725,0.0973149021896564,4.27178165409714e-05,1.606775913387537e-05,0.7266717272716581,1.3190475556257297e-06,0.0
11,6,client_6,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,6.45126566337574e-07,5.747692934402382e-08,4.92657875383884e-07,0.0,6.328406243483187e-08,2.385428160778247e-06,0.0,7.374665074166842e-07,6.328406243483187e-08,11.223900611942451,492657.87538388395,0.0858126789294258,2.193430373154115e-05,1.735803198243957e-05,0.5582336294022605,7.522330065512506e-07,0.0
11,7,client_7,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,5.424126634528632e-07,2.2784032678885285e-08,3.1999752536648884e-07,0.0,5.829157989634126e-11,1.955237394213327e-06,0.0,6.67833887746383e-07,5.829157989634126e-11,23.805656594713284,319997.52536648884,8.728441859790661e-05,1.844203143264167e-05,6.88077761878958e-06,0.7282774461122384,5.922127570556768e-07,0.0
11,8,client_8,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,7.976146888064844e-07,4.3706811236570126e-08,2.6866320013141376e-07,0.0,1.491794243690947e-09,3.311674618089455e-06,0.0,2.7598773613135563e-06,1.491794243690947e-09,18.248790461946623,268663.20013141376,0.000540528982944354,2.711890010687057e-05,1.3199457498558331e-05,0.6726191503048684,1.0202900284639327e-06,0.0
11,9,client_9,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.2509110427037213e-06,6.822715073503091e-08,4.1334494937927957e-07,0.0,2.6044959522408817e-09,7.553891919087619e-06,0.0,1.0082798326038755e-05,2.6044959522408817e-09,18.334236370581507,413344.94937927957,0.00025831079921572874,4.253097722539678e-05,2.0604598830686882e-05,0.6736451808718925,1.6654842056595953e-06,0.0
12,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,1.7882216558759597e-06,4.663506217179715e-08,6.829894800830516e-07,0.0,3.481307828678837e-07,7.767333045194391e-06,0.0,3.3186145742547524e-07,3.481307828678837e-07,38.34418200422966,682989.4800830516,1.0490212890262278,6.07995389145799e-05,1.4083789210417308e-05,0.8119235566182124,1.7882216525322292e-06,0.0
12,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,8.653908393545648e-07,9.829885001285396e-09,6.427432310829317e-07,0.0,1.2021840234410774e-07,3.068259729843703e-06,0.0,1.1770572427849402e-07,1.2021840234410774e-07,88.02776548005743,642743.2310829317,1.0213384416311773,2.942328865174204e-05,2.968625267385505e-06,0.9083528629043007,8.653908594169479e-07,0.0
12,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.6190476190476191,0.0476190485060215,1.7575756216689007e-06,5.775205880375836e-08,9.949595494163077e-07,0.0,4.415709327076911e-07,9.7763095254777e-06,0.0,4.2219934925924463e-07,4.415709327076911e-07,30.432597996948417,994959.5494163077,1.0458800744301429,5.975757085252553e-05,1.744112159940414e-05,0.7740748992045515,1.7575756601218018e-06,0.0
12,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.5111111111111111,0.065476194024086,1.4029551397744826e-06,1.6173882113657768e-08,4.4322800363261194e-07,0.0,1.539628158298001e-07,8.30560747999698e-06,0.0,1.3973222223739867e-07,1.539628158298001e-07,86.736653158656,443228.00363261194,1.1018340045735593,4.770047598867677e-05,4.884512236458249e-06,0.9071120236319549,1.4029552630745457e-06,0.0
12,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.4166666666666667,0.0833333358168602,1.0139927899685705e-06,2.724506285851297e-08,4.793114101175888e-07,0.0,2.3692086870141793e-07,6.297035724855959e-06,0.0,2.3542881422145e-07,2.3692086870141793e-07,37.21612165523397,479311.4101175888,1.0063333290428773,3.44757572747767e-05,8.228009392041713e-06,0.8073235491482166,1.0139928008356947e-06,0.0
12,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.4166666666666667,0.0833333358168602,7.439212197368761e-07,2.9539525269766116e-08,4.324411122524907e-07,0.0,2.4842182710926863e-07,3.4730014704109635e-06,0.0,2.4562379508097365e-07,2.4842182710926863e-07,25.18307352165664,432441.1122524907,1.0113874172490318,2.529332232370507e-05,8.920937034417875e-06,0.7392625782044732,7.439213050020044e-07,0.0
12,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,8.262571088500729e-07,1.2700406651541606e-08,3.603734484158849e-07,0.0,1.4382067092810757e-07,5.9094968491990585e-06,0.0,1.4082304744533758e-07,1.4382067092810757e-07,65.05240966753772,360373.4484158849,1.0212792029282725,2.8092741558793932e-05,3.8355228753061965e-06,0.8798705841624027,8.262571782324812e-07,0.0
12,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,7.294932774972468e-07,2.6780623075720228e-08,4.7025865512750897e-07,0.0,2.6201544756077055e-07,2.7796882022812497e-06,0.0,2.4486848815286066e-07,2.6201544756077055e-07,27.23857607265757,470258.655127509,1.0700208079710056,2.4802771804388613e-05,8.087748938123696e-06,0.7541008926085244,7.294933652701729e-07,0.0
12,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.44680851063829785,0.0773809552192688,1.1833318383731454e-06,2.396032178271083e-08,6.269868606523232e-07,0.0,2.6828413979274046e-07,7.595163879159372e-06,0.0,2.2465188465048413e-07,2.6828413979274046e-07,49.38508188755148,626986.8606523232,1.1942163138040183,4.0233280742540956e-05,7.236017609102419e-06,0.8475642424064573,1.1833317330456339e-06,0.0
13,1,client_1,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,2.481984553776997e-06,7.240840979680374e-08,1.3970696954856976e-06,0.0,2.3519513092651323e-07,9.364117431687191e-06,0.0,1.1434958651079796e-06,2.3519513092651323e-07,34.27709963031014,1397069.6954856976,0.2056806084066561,8.438748045591637e-05,2.1867339455639012e-05,0.7941990747521848,2.55663258030836e-06,0.0
13,2,client_2,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,9.809451822691517e-07,9.133606192860779e-09,4.900872454527416e-07,0.0,1.2783670788607537e-09,4.432449259184068e-06,0.0,2.4089686689876544e-07,1.2783670788607537e-09,107.38779117109799,490087.2454527416,0.005306676623242882,3.335213477839716e-05,2.758349410214578e-06,0.9236135876932363,1.0145297437702538e-06,0.0
13,3,client_3,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,9.065822464045493e-07,4.083884508273151e-08,4.246813887220924e-07,0.0,2.9193449879727495e-09,4.789566901308717e-06,0.0,5.213839813222876e-07,2.9193449879727495e-09,22.198474175600715,424681.3887220924,0.005599211892465681,3.0823794077150524e-05,1.2333331142144743e-05,0.7142225810060867,9.85666133601626e-07,0.0
13,4,client_4,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.4207341670804135e-06,2.187591177573191e-08,3.6648341961154074e-07,0.0,1.4683726456965474e-09,1.3595588825410232e-05,0.0,9.151141853180889e-07,1.4683726456965474e-09,64.94217198683573,366483.41961154074,0.0016045768546460622,4.830496254726313e-05,6.606525403185515e-06,0.8796877205579482,1.5263484556271578e-06,0.0
13,5,client_5,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.0702525803113156e-06,8.200274506022851e-08,6.432985912852018e-07,0.0,6.778641647997574e-08,3.7839561173313996e-06,0.0,3.500531420286279e-06,6.778641647997574e-08,13.05126466511081,643298.5912852018,0.019364601820894452,3.6388588341651484e-05,2.476482950442005e-05,0.5950376778319577,1.3185217540012673e-06,0.0
13,6,client_6,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,7.757602484053236e-07,4.902261900064454e-08,3.0148453333822545e-07,0.0,4.67869760711892e-08,4.72570627607638e-06,0.0,1.3617146805700031e-06,4.67869760711892e-08,15.824214209789861,301484.53333822545,0.03435884358150635,2.6375848392490298e-05,1.4804831153014675e-05,0.6404908331552408,9.258914133170038e-07,0.0
13,7,client_7,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.0386976392786367e-06,3.300723341287278e-08,3.552270868567575e-07,0.0,3.2175926367727925e-09,7.562932751170592e-06,0.0,1.3506473806046415e-06,3.2175926367727925e-09,31.467834897021728,355227.0868567575,0.0023822577977936645,3.531572292558849e-05,9.968183803721331e-06,0.7798735731176869,1.1796386161222472e-06,0.0
13,8,client_8,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,7.158751563550529e-07,2.3641403595949025e-08,3.2503376701242814e-07,0.0,4.923767504827481e-10,3.1235622373060323e-06,0.0,4.7412683557013224e-07,4.923767504827481e-10,30.279288374795932,325033.76701242814,0.0010384894400698322,2.4339757146663032e-05,7.13970439392142e-06,0.7731948128175106,7.666191095268005e-07,0.0
13,9,client_9,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.5867342700413274e-06,3.988732463468179e-08,6.73099123105203e-07,0.0,3.72870303522177e-08,8.791103027760983e-06,0.0,7.383301294794364e-07,3.72870303522177e-08,39.779416272141596,673099.123105203,0.0505017719874646,5.394896288635209e-05,1.2045971743646078e-05,0.8174712555038762,1.68995495641866e-06,0.0
14,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,1.1073170996082006e-06,3.7395176891967054e-08,6.269644927670015e-07,0.0,3.056355524222454e-07,3.7025272376922658e-06,0.0,3.0543586149178736e-07,3.056355524222454e-07,29.61043592255709,626964.4927670015,1.0006505139212327,3.764878056244925e-05,1.1293343050056137e-05,0.7692510462210189,1.1073170753661543e-06,0.0
