round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share
10,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.5813953488372093,0.0535714291036129,1.2640533217269394e-06,5.032711382748462e-08,7.291908161732863e-07,0.0,3.93190020986367e-07,5.200748091738205e-06,0.0,3.928246883333486e-07,25.1162466779478,1.0009274664662695,0.7387473888838096
10,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,9.029600166139276e-07,3.049632555569715e-08,4.132966466841026e-07,0.0,2.838751527178829e-07,4.4456528485170566e-06,0.0,2.71398846507509e-07,29.607842660329514,1.0459665190342278,0.7692365417010784
10,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.4782608695652174,0.0714285746216774,1.3066285367144434e-06,2.8207505742030923e-08,9.374205944823188e-07,0.0,2.398882941179181e-07,5.982967195450328e-06,0.0,2.3492525258461683e-07,46.32037402702814,1.021121698740391,0.8391005181834599
10,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.3877551020408163,0.0892857164144516,9.596749459419965e-07,1.8455989816654104e-08,7.036494764633971e-07,0.0,2.430472534342698e-07,5.874815997231053e-06,0.0,2.1834188146385713e-07,51.99520373988953,1.1131448472456935,0.8541015212111123
10,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.44680851063829785,0.0773809552192688,1.4037453339329551e-06,3.087216754918356e-08,6.065992010917398e-07,0.0,2.817120332565537e-07,5.660903752868762e-06,0.0,2.7791546131084033e-07,45.46813447945276,1.013657240480866,0.836577122586516
11,1,client_1,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,2.2696936155987852e-06,7.181997996726724e-08,1.159583916887641e-06,0.0,1.1964903512406977e-09,7.8517241490772e-06,0.0,1.2053212685714243e-06,31.602097557471495,0.0009926725676932906,0.7806007771202093
11,2,client_2,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,8.662741142457014e-07,2.3398785651748827e-08,4.785425602449322e-07,0.0,2.9108537802358114e-09,4.955485110258451e-06,0.0,2.4039868549152743e-06,37.02060040797676,0.0012108437961881472,0.8065037755302068
11,3,client_3,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.1908174545784705e-06,6.993341572050427e-08,7.243267816647858e-07,0.0,9.527762756533775e-08,4.545290721580386e-06,0.0,1.187271323033201e-06,17.02763142166828,0.08024917764605669,0.6571873994095107
11,4,client_4,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,9.307379709264912e-07,2.1402784943644076e-08,3.873817888688791e-07,0.0,1.2043822605889432e-09,5.1596612138382625e-06,0.0,9.660648174758535e-07,43.484737553526806,0.0012466875846365885,0.8303894830694487
11,5,client_5,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.256406420679923e-06,5.3204501312591675e-08,6.915334722634725e-07,0.0,1.301762324601441e-07,4.871893452218501e-06,0.0,1.3376793503994122e-06,23.61422014047597,0.0973149021896564,0.7266717272716581
