subset,intra_mean,intra_max,coverage_mean,coverage_max,nonself_mean,combined
"client_2,client_4,client_7,client_8",0.2627749289299018,0.4398623887152287,0.0414029314994284,0.1026027357426375,0.12642581123865482,0.1520889302146651
"client_1,client_4,client_7,client_8",0.24784618416709717,0.4398623887152287,0.0582529847858691,0.1623057672644253,0.13757479071082937,0.15304958447648315
"client_3,client_4,client_7,client_8",0.26452427827540864,0.4398623887152287,0.04354284314475591,0.1026027357426397,0.13211809710361822,0.15403356071008228
"client_1,client_2,client_4,client_7",0.26728644157028636,0.4398623887152287,0.04140293149942854,0.1026027357426375,0.1195903484018639,0.15434468653485744
"client_2,client_3,client_4,client_7",0.25922958373066424,0.4398623887152287,0.050799052427176986,0.1405397483142558,0.13277926321499117,0.1550143180789206
"client_4,client_5,client_6,client_7",0.2646279431507517,0.4398623887152287,0.04678419050726148,0.1067592176075564,0.11605600340349592,0.1557060668290066
"client_1,client_3,client_4,client_7",0.2722598227040725,0.4398623887152287,0.04354284314475605,0.1026027357426397,0.13394578339970944,0.15790133292441427
"client_4,client_6,client_7,client_8",0.2537788476514154,0.4398623887152287,0.06327809146244186,0.1623057672644253,0.13410535644961602,0.15852846955692862
"client_1,client_4,client_6,client_7",0.2429816277849598,0.4398623887152287,0.07920743622858344,0.2046708694087895,0.14728951578781815,0.16109453200677162
"client_2,client_4,client_6,client_7",0.27582878822510487,0.4398623887152287,0.05296418863479013,0.1462973326865449,0.11179340347148739,0.1643964884299475
"client_3,client_4,client_6,client_7",0.2759509807477058,0.4398623887152287,0.054384402233581514,0.1405397483142558,0.1299576781139389,0.16516769149064364
