count,mean,std,min,max,range,client,date
48,7.904729166666667,2.835472385422384,3.568,15.234,11.666,2,2012-04-13
48,8.1480625,2.5982793030073132,3.653,16.299,12.645999999999999,2,2012-04-14
48,8.537374999999999,2.833379814908675,4.473,14.644,10.171,2,2012-04-15
48,7.916729166666666,2.757710125784545,4.106,13.644,9.538,2,2012-04-16
48,8.360916666666666,3.050986131709964,3.923,14.91,10.987,2,2012-04-17
48,8.6183125,2.970415925860616,3.77,14.525,10.755,2,2012-04-18
48,8.886000000000001,2.937237499362211,3.746,15.497,11.751,2,2012-04-19
48,8.308791666666666,2.526818190618335,4.11,12.99,8.879999999999999,2,2012-04-20
48,8.484791666666666,2.8087414835885496,4.3180000000000005,15.797,11.479,2,2012-04-21
48,8.917,3.407971325171544,3.577,18.679,15.101999999999999,2,2012-04-22
48,8.89025,3.1158033457459573,4.486,17.087,12.600999999999999,2,2012-04-23
48,8.0353125,2.9991664314013455,3.719,14.446,10.727,2,2012-04-24
48,8.646479166666667,2.950413220172643,3.4,15.068,11.668,2,2012-04-25
48,7.967895833333333,2.902056829213079,3.843,15.102,11.259,2,2012-04-26
48,7.61025,2.3861474914731957,3.572,12.903,9.331,2,2012-04-27
48,8.955291666666666,3.4114512227255225,3.503,17.556,14.053,2,2012-04-28
48,9.194020833333333,3.794918766767643,3.983,19.045,15.062000000000001,2,2012-04-29
48,8.7481875,3.4765589716333998,3.905,17.751,13.846000000000002,2,2012-04-30
48,8.045625,2.9521778230547318,4.157,15.083,10.926,2,2012-05-01
48,8.2165,2.9283028706279106,3.876,16.212,12.336,2,2012-05-02
48,7.494541666666667,2.4506509856660736,3.438,13.57,10.132,2,2012-05-03
48,7.949020833333333,3.2926867351339313,3.55,16.253,12.703,2,2012-05-04
48,7.948104166666667,2.8743550561679814,3.432,17.273,13.841,2,2012-05-05
48,8.506708333333334,3.8233466901551805,3.307,20.082,16.775000000000002,2,2012-05-06
48,8.8404375,3.971727969013038,3.478,20.085,16.607,2,2012-05-07
48,7.9038125,3.417751809622936,3.68,17.018,13.338000000000001,2,2012-05-08
48,7.5599375,3.2861739986193865,3.324,15.657,12.333,2,2012-05-09
48,7.289791666666667,2.768230074055948,3.658,14.35,10.692,2,2012-05-10
48,8.174625,3.1428289643148224,3.631,15.961,12.33,2,2012-05-11
48,8.377625,2.6853678746757255,3.653,14.658,11.004999999999999,2,2012-05-12
48,9.042937499999999,3.9426121344635394,3.695,17.275,13.579999999999998,2,2012-05-13
48,9.340895833333333,5.333960925909675,3.211,23.007,19.796000000000003,2,2012-05-14
48,9.646166666666668,4.21174515471045,4.122,18.581,14.459,2,2012-05-15
48,9.624666666666666,4.37401760560979,4.144,21.497,17.353,2,2012-05-16
48,9.107270833333333,3.6425269971667547,4.919,17.594,12.675,2,2012-05-17
48,8.8261875,3.5107774713669126,4.139,17.101,12.962,2,2012-05-18
48,9.099395833333334,3.691042877132876,3.928,16.323,12.395,2,2012-05-19
48,10.128187500000001,4.345090943181888,3.865,21.574,17.709000000000003,2,2012-05-20
